ascB,54.5280200876,52.045005616,38.5025184479
ascF,27.9289858985,29.0483752275,41.0571879184
ascG,62.5077303443,53.2553545838,18.2476390748
asd,3225.13289542,3253.41802549,2349.0185781
aslB,17.2893722229,12.1034896781,15.8754459951
asmA,199.492756418,221.49386111,178.644386543
asnA,111.715943594,90.7761725861,75.1802729883
asnB,719.503874814,674.164375073,642.681848216
asnC,46.5483098309,50.8346566482,42.8819518259
asnS,857.818852597,911.392772764,1060.18783025
aspA,307.218844884,300.166544018,310.209864272
aspC,1486.88601117,1465.73260002,938.293601228
aspS,1796.76475947,1663.01948178,1433.71700211
astA,11.9695653851,10.8931407103,8.02896119293
astB,13.2995170945,12.1034896781,17.5177335118
astC,7.97971025672,10.8931407103,12.2259181801
astD,10.6396136756,16.9448855494,13.8682056969
astE,10.6396136756,7.26209380689,8.57639036517
atpA,1658.44978169,1613.3951741,2123.47775914
atpB,315.19855514,365.52538828,387.032424777
atpC,387.015947451,321.952825439,470.241658959
atpD,1331.28166116,1281.75955692,1875.6748205
atpE,155.604350006,164.607459623,178.826862933
atpF,546.610152585,561.601921066,530.823820687
atpG,662.315951308,695.950656493,723.153936536
atpH,275.300003857,288.06305434,341.41332709
atpI,63.8376820538,87.1451256826,72.2606507364
avtA,206.142514965,260.22502808,208.752991016
azoR,49.2082132498,49.6243076804,55.837775569
bacA,74.4772957294,72.6209380689,71.1657923919
baeR,103.736233337,79.8830318758,72.6256035179
baeS,19.9492756418,22.9966303885,29.1962225197
bamA,1392.4594398,1401.58410473,1242.48174461
bamB,486.76232566,480.508540222,570.056244698
bamC,719.503874814,737.102521399,822.238616712
bamD,525.330925234,528.922498935,536.663065191
bamE,179.543480776,154.92466788,217.511857772
basR,67.8275371821,66.5691932298,74.6328438161
basS,98.4164264996,79.8830318758,84.3040925257
bax,101.076329918,91.9865215539,129.740713822
bcp,308.548796593,340.108059956,319.151207419
bcr,196.832852999,215.442116271,211.672613268
bcsA,26.5990341891,30.2587241954,34.4880378514
bcsB,26.5990341891,22.9966303885,34.4880378514
bcsC,218.11208035,171.86955343,185.396013
bcsG,86.4468611145,98.038266393,89.9608606389
bcsZ,14.629468804,8.4724427747,13.1383001339
bdm,0.0,0.0,1.27733473524
bfd,1.32995170945,4.84139587126,1.82476390748
bfr,425.584547025,458.722258802,285.575551521
bglA,208.802418384,215.442116271,175.5422879
bglB,3.98985512836,8.4724427747,12.9558237431
bglF,79.7971025672,91.9865215539,93.2454356724
bglG,1.32995170945,1.21034896781,2.37219307973
bglH,10.6396136756,6.05174483907,7.84648480218
bglJ,9.30966196617,3.63104690344,5.47429172245
bglX,262.000486762,223.914559046,254.007135922
bhsA,3.98985512836,6.05174483907,6.38667367619
bioA,106.396136756,107.721058135,138.499580578
bioB,218.11208035,229.966303885,168.24323227
bioC,94.4265713712,88.3554746505,128.280902696
bioD,81.1270542767,100.458964329,81.7494230553
bioF,142.304832912,159.766063752,206.928227109
bioH,66.4975854727,43.5725628413,45.4366212963
birA,66.4975854727,76.2519849723,67.1513117954
bisC,331.157975654,303.797590921,262.401049896
blc,66.4975854727,55.6760525195,61.677020073
bolA,109.056040175,119.824547814,108.208499714
brnQ,621.087448315,606.384832875,750.342918757
bsmA,19.9492756418,25.4173283241,25.364218314
bssR,1009.43334748,1062.68639374,884.098113176
bssS,54.5280200876,39.9415159379,47.9912907668
btuC,67.8275371821,59.3070994229,61.3120672915
btuD,119.695653851,137.979782331,119.704512331
btuE,81.1270542767,75.0416360045,90.1433370297
btuF,55.857971797,44.7829118091,45.4366212963
btuR,55.857971797,58.0967504551,48.7211963298
cadA,21.2792273513,15.7345365816,27.9188877845
cadB,3.98985512836,12.1034896781,8.75886675592
cadC,22.6091790607,14.5241876138,14.7805876506
caiA,34.5787444458,52.045005616,51.2758658003
caiC,34.5787444458,37.5208180022,29.1962225197
caiD,9.30966196617,8.4724427747,5.47429172245
caiE,11.9695653851,7.26209380689,12.4083945709
caiF,159.594205134,135.559084395,111.310598357
caiT,9.30966196617,12.1034896781,13.6857293061
can,387.015947451,367.946086216,334.296747851
carA,113.045895304,68.9898911654,88.3185731222
carB,223.431887188,221.49386111,264.955719367
cbl,23.9391307702,21.7862814207,26.82402944
cbpA,4749.25755446,4728.83341725,4362.28059723
cbpM,529.320780362,505.925868546,920.593391326
cbrA,7.97971025672,6.05174483907,13.1383001339
cbrB,18.6193239323,14.5241876138,11.8609653986
cbrC,15.9594205134,16.9448855494,14.9630640414
cca,360.416913262,309.84933576,432.469046074
ccmA,38.5685995741,47.2036097448,36.8602309312
ccmB,18.6193239323,13.313838646,19.3424974193
ccmC,29.258937608,22.9966303885,39.0499476202
ccmD,0.0,1.21034896781,3.64952781497
ccmE,30.5888893174,71.410589101,64.5966423249
ccmF,66.4975854727,68.9898911654,89.4134314667
ccmG,13.2995170945,15.7345365816,15.8754459951
ccmH,35.9086961552,25.4173283241,27.7364113938
cdaR,27.9289858985,25.4173283241,16.9703043396
cdd,159.594205134,162.186761687,184.301154656
cdgR,87.7768128239,83.5140787792,65.6915006694
cdh,19.9492756418,19.365583485,25.1817419233
cdsA,139.644929493,131.928037492,137.039769452
cedA,6.64975854727,4.84139587126,9.12381953742
cfa,4108.2208305,4265.26976258,3453.18321852
chaA,21.2792273513,18.1552345172,23.904407188
chaB,11.9695653851,21.7862814207,16.2403987766
chaC,94.4265713712,99.2486153608,91.9681009372
chbA,14.629468804,9.68279174252,8.75886675592
chbB,3.98985512836,3.63104690344,4.74438615946
chbC,13.2995170945,14.5241876138,11.6784890079
chbF,18.6193239323,18.1552345172,20.6198321546
chbG,35.9086961552,22.9966303885,30.6560336457
chbR,30.5888893174,24.2069793563,19.5249738101
cheA,73.1473440199,67.7795421976,74.6328438161
cheB,19.9492756418,16.9448855494,9.12381953742
cheR,13.2995170945,14.5241876138,13.8682056969
