	EX_hdcea_e	EX_lipoate_e	EX_fe2_e	EX_lys__L_e	EX_nh4_e	EX_skm_e	EX_xtsn_e	EX_etha_e	EX_pyr_e	EX_mn2_e	EX_gua_e	EX_mal__L_e	EX_mobd_e	EX_arg__L_e	EX_for_e	EX_h2o_e	EX_ca2_e	EX_ade_e	EX_mg2_e	EX_ni2_e	EX_pro__L_e	EX_tyr__L_e	EX_zn2_e	EX_feenter_e	EX_pnto__R_e	EX_cobalt2_e	EX_thm_e	EX_ptrc_e	EX_leu__L_e	EX_g6p_e	EX_cu_e	EX_his__L_e	EX_asn__L_e	EX_ser__L_e	EX_metsox_R__L_e	EX_adocbl_e	EX_mmet_e	EX_h_e	EX_nmn_e	EX_cu2_e	EX_phe__L_e	EX_succ_e	EX_akg_e	EX_ac_e	EX_gam6p_e	EX_spmd_e	EX_amp_e	EX_thr__L_e	EX_thymd_e	EX_cys__L_e	EX_ump_e	EX_so4_e	EX_cit_e	EX_btn_e	EX_trp__L_e	EX_damp_e	EX_cytd_e	EX_glyclt_e	EX_gthrd_e	EX_hxan_e	EX_no2_e	EX_glyc_e	EX_alaala_e	EX_pydx_e	EX_dad_2_e	EX_colipa_e	EX_ocdcea_e	EX_LalaDgluMdap_e	EX_o2_e	EX_xan_e	EX_ala__L_e	EX_cl_e	EX_k_e	EX_co2_e	EX_hdca_e
10	0.0	0.0	0.0	0.0	-498.33276773331147	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	1000.0	0.0	-0.021385337121131637	0.0	0.0	90.14560369402166	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287438045	0.0	0.0	0.0	0.0	0.0	0.028302256249011486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-581.8308015760399	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
11	0.0	0.0	0.0	0.0	-333.3182101635496	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	821.3355610724652	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	1000.0	0.0	-0.021385337121131637	0.0	0.0	0.0	998.6904426828187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287438045	0.0	0.0	0.0	0.0	0.0	0.028302256249011486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-564.5741995859046	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
12	0.0	0.0	0.0	0.0	-430.7923761630387	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	872.4789994539844	0.0	-0.021385337120889785	0.0	0.0	0.0	819.1496580734539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287438045	0.0	0.0	0.0	0.0	0.0	0.028302256248975786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-567.4795156657108	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
13	0.0	0.0	0.0	0.0	-488.0079733151333	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	793.0737028430303	0.0	-0.021385337120889785	0.0	0.0	0.0	946.9998586067345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287438045	0.0	0.0	0.0	0.0	0.0	0.028302256249044176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-573.4170826739828	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
14	0.0	0.0	0.0	0.0	-454.61673767551883	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	21.12944861540146	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	987.824275044114	0.0	-0.021385337120889785	0.0	0.0	0.0	1000.0	0.0	2.4682893895166678	0.0	0.0	0.0	0.0	0.0	-10.463454676954514	0.0	0.0	0.0	0.0	0.0	0.02830225624931104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-603.7690919524878	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
15	0.0	0.0	0.0	0.0	-444.36740838945985	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	984.075507757463	0.0	-0.021385337120889785	0.0	0.0	0.0	1000.0	0.0	1.84764403637981	0.0	0.0	0.0	0.0	0.0	-9.842809323817669	0.0	0.0	0.0	0.0	0.0	0.028302256248969274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-603.8261198018229	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
16	0.0	0.0	0.0	0.0	-571.0233823489983	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	1000.0	0.0	-0.021385337120889785	0.0	0.0	38.65912522442804	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287438045	0.0	0.0	0.0	0.0	0.0	0.0283022562490102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-574.1828879652846	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
17	0.0	0.0	0.0	0.0	-447.5876111595798	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	991.1750499083998	0.0	-0.021385337120889785	0.0	0.0	73.53707051507477	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287438499	0.0	0.0	0.0	0.0	0.0	0.0283022562490102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-590.4279679383568	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
18	0.0	0.0	0.0	0.0	-665.9924232919304	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	909.4393161744661	0.0	-0.021385337120889785	0.0	0.0	160.27683741234068	932.324764821373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.99516528744183	0.0	0.0	0.0	0.0	0.0	0.0283022562490102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-590.2226911644293	0.0	332.6742131283799	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
19	0.0	0.0	0.0	0.0	-478.8989438804312	0.0	0.0	0.0	0.0	-0.020877673331669847	0.0	0.0	-0.004346871195195698	0.0	1000.0	1000.0	-0.15712194276357	0.0	-0.261859328277008	-0.009740798955657513	0.0	0.0	-0.010280191731703693	0.0	0.0	-0.0007614956838299033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.007075564062252852	0.0	909.4393161744503	0.0	-0.021385337120889785	0.0	0.0	217.741679330337	1000.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-7.995165287441742	0.0	0.0	0.0	0.0	0.0	0.0283022562490102	0.0	0.0	0.0	0.0	31.20301506290833	0.0	0.0	0.0	0.0	0.0	-589.6739210120292	0.0	0.0	-0.15712194276357005	-5.8917555637656145	1000.0	0.0
