adrA,3.59152830304,9.18936055835,7.65644021469
adrB,12.5703490606,9.18936055835,5.10429347646
aegA,12.5703490606,16.0813809771,15.3128804294
aer,156.231481182,128.651047817,122.503043435
aes,3.59152830304,4.59468027917,12.7607336911
agaB,0.0,0.0,0.0
agaC,1.79576415152,0.0,2.55214673823
agaD,3.59152830304,0.0,0.0
agaI,1.79576415152,0.0,2.55214673823
agaR,100.562792485,85.0015851647,107.190163006
agaS,0.0,0.0,2.55214673823
agaV,3.59152830304,0.0,2.55214673823
agp,104.154320788,73.5148844668,114.84660322
aidB,75.4220943638,82.7042450251,66.355815194
ais,1.79576415152,0.0,2.55214673823
alaA,269.364622728,238.923374517,211.828179273
alaC,165.21030194,174.597850609,181.202418414
alaE,1.79576415152,0.0,7.65644021469
alaS,2289.59929319,2242.20397624,2064.68671123
aldA,1028.97285882,875.286593182,826.895543186
aldB,32.3237547273,39.054782373,17.8650271676
alkA,10.7745849091,9.18936055835,10.2085869529
alkB,7.18305660608,6.89202041876,2.55214673823
allA,0.0,0.0,5.10429347646
allB,1.79576415152,2.29734013959,5.10429347646
allD,1.79576415152,2.29734013959,0.0
allR,195.738292516,257.302095634,229.693206441
allS,0.0,2.29734013959,2.55214673823
alr,143.661132122,135.543068236,122.503043435
alx,16.1618773637,18.3787211167,28.0736141205
amiA,73.6263302123,59.7308436292,71.4601086704
amiB,116.724669849,105.677646421,132.711630388
amiC,70.0348019093,87.2989253043,102.085869529
amiD,62.8517453032,80.4069048855,71.4601086704
amn,319.64601897,340.006340659,290.944728158
ampC,46.6898679395,36.7574422334,35.7300543352
ampD,39.5068113334,34.4601020938,51.0429347646
ampE,43.0983396365,57.4335034897,48.4907880263
ampG,116.724669849,117.164347119,112.294456482
ampH,79.0136226669,66.622864048,45.9386412881
amtB,235.245103849,202.165932284,181.202418414
anmK,53.8729245456,55.1361633501,30.6257608587
ansA,211.900169879,170.003170329,170.993831461
ansB,14.3661132122,20.6760612563,15.3128804294
ansP,23.3449339698,18.3787211167,20.4171739058
apaG,82.6051509699,87.2989253043,104.638016267
apaH,84.4009151214,85.0015851647,74.0122554086
apbE,23.3449339698,9.18936055835,20.4171739058
aphA,7.18305660608,6.89202041876,7.65644021469
appA,32.3237547273,9.18936055835,15.3128804294
appB,28.7322264243,18.3787211167,30.6257608587
appC,34.1195188789,32.1627619542,30.6257608587
apt,280.139207637,303.248898425,298.601168373
aqpZ,19.7534056667,20.6760612563,15.3128804294
araA,5.38729245456,6.89202041876,7.65644021469
araB,3.59152830304,2.29734013959,0.0
araC,30.5279905758,43.6494626521,38.2822010734
araD,3.59152830304,0.0,2.55214673823
araE,7.18305660608,16.0813809771,10.2085869529
araF,7.18305660608,2.29734013959,0.0
araG,16.1618773637,11.4867006979,15.3128804294
araH,14.3661132122,22.9734013959,30.6257608587
araJ,17.9576415152,13.7840408375,28.0736141205
arcA,599.785226607,608.79513699,689.079619322
arcB,177.780651,192.976571725,158.23309777
argA,527.954660547,620.281837688,456.834266143
argB,368.131651061,296.356878007,336.883369446
argC,474.081736001,512.306851128,433.864945499
argD,820.664217244,799.474368576,732.466113872
argE,407.638462395,367.574422334,311.361902064
argG,2205.19837807,2226.12259526,1962.6008417
argH,860.171028578,907.449355137,821.79124971
argI,511.792783183,436.494626521,410.895624855
argK,3.59152830304,2.29734013959,0.0
argO,17.9576415152,11.4867006979,28.0736141205
argP,131.090783061,114.867006979,148.024510817
