gene	DMSO1_6	DMSO1_6	DMSO1_6	DMSO1_6	DMSO1_6	DMSO1_6
ENSRNOG00000000662	139	88	130	174	128	98
ENSRNOG00000000663	1129	992	1031	1245	1000	872
ENSRNOG00000000664	1114	1077	1042	1288	1079	1093
ENSRNOG00000000665	2302.996	2158.002	2003	2253	1965	2185.997
ENSRNOG00000000691	1	0	0	0	1	0
ENSRNOG00000000692	530	501	566	633	593	539
ENSRNOG00000000693	19.000000518993	12.6242	12	12.99996	23	25
ENSRNOG00000000695	645	483	541	687	664	478
ENSRNOG00000000697	3015	2788	2367	2729	2665	2782
ENSRNOG00000000699	172	115	174	225	179	126
ENSRNOG00000000700	728	648	772	684	666	745
ENSRNOG00000000701	1846	2068	2111	2207	2032	1919
ENSRNOG00000000702	1147	1047	1076	1212	1056	1065
ENSRNOG00000000704	168.902	176.523	206.373	217.135	204.887	178.941
ENSRNOG00000000708	1	7	5	7	1	8
ENSRNOG00000000713	0	0	0	0	0	0
ENSRNOG00000000715	3	0	0	0	0	1
ENSRNOG00000000716	1	0	0	2	0	1
ENSRNOG00000000718	2013	1844	1777	1800	1522	1762
ENSRNOG00000000720	353	365	328.277	408	320	356
ENSRNOG00000000723	256.425	169.408	226.87026	254.27121	252.78	245.701
ENSRNOG00000000726	0	0	0	0	0	0
ENSRNOG00000000728	249	316	355	272	284	249
ENSRNOG00000000729	363.0124	414	462	428.01858	408.02379	345
ENSRNOG00000000746	0	0	0	0	0	0
ENSRNOG00000000747	0	0	0	0	0	0
ENSRNOG00000000748	9.93278	6.8033	5.00502	5.04029	8.56173	10.1825
ENSRNOG00000000749	0	0	0	0	0	0
ENSRNOG00000000759	0	0	0	0	0	0
ENSRNOG00000000763	79.176	58.2608	71.361	75.2022	72.3467	67.5785
ENSRNOG00000000765	0	0	0	0	0	0
ENSRNOG00000000767	0	0	0	0	0	2
ENSRNOG00000000768	2	1	2	1	0	1
ENSRNOG00000000774	1571.94974	1586.94399	1725.56418	1855.3099	1679.91801	1514.9363
ENSRNOG00000000775	159.383	140.343	122.338	166	164.256	135
ENSRNOG00000000777	586.1735	571.7276	474.86466	561.3354	540.2412	510.52084
ENSRNOG00000000778	111.81998	155.9012	136.73742	162.72522	127.18875	131.01036
ENSRNOG00000000779	231.00042	275.99988	299.99989	324.00034	304.00004	243.0002
ENSRNOG00000000780	831.0003	889.9999	859.99982	995.00024	874.0005	800.99954
ENSRNOG00000000781	43.00004	40.00003	33.00004	33.00005	34.99997	39
ENSRNOG00000000782	6	2	6	2	1	5
ENSRNOG00000000783	0	0	0	0	0	0
ENSRNOG00000000785	281.6454	246.63968	317.85445	335.07997	270.84777	248.8467671
ENSRNOG00000000786	507.00032	503.99999	438.9997	565.00013	513.00015	522.99991
ENSRNOG00000000787	17.7025	35.3032	12.6788	18.8178	11.2327	15.8766
ENSRNOG00000000795	166.944	231	185	181.974	204.093	163.985
ENSRNOG00000000796	4082.999	4791.995	4009.004	2558.998	2896.004	4693.004
ENSRNOG00000000798	1304.9954	1431.99606	1480.99881	1551.9974	1546.00177	1367.00066
ENSRNOG00000000799	4939.9994	4931.9978	4450.9984	5483.9989	4531.0047	4623.9973
ENSRNOG00000000800	803.00012	746	803.00064	912	742	697
ENSRNOG00000000801	210	227	179	267	242	226
ENSRNOG00000000802	98	91	136	120	96	73
ENSRNOG00000000804	895.43626	867.34955	825.54693	1099.94608	1084.14811	807.29664
ENSRNOG00000000805	7551.83	6657.82	9182.54	8255.23	8195.72	6280.13
ENSRNOG00000000808	1563	1511	1296	1149	1326	1500
ENSRNOG00000000809	592.0003058	415.000052	578.99919	646.9996218284	549.999134	389.000163
ENSRNOG00000000811	0	2.01679	4.0856	7.1043	1.0112	10.1143
ENSRNOG00000000812	654.55971	461.56718	632.28533	832.42403	718.32526	460.9976
ENSRNOG00000000814	0	0	0	0	0	0
ENSRNOG00000000815	286	284	362	299	273	246
ENSRNOG00000000816	916.0002	836.000144	789.99959468	791.0002	894	767.000200180918
ENSRNOG00000000818	318.47845	257.2551	269.00041	273.9998	281.9997	280.00036
ENSRNOG00000000823	577	547	576	427	460	567
ENSRNOG00000000824	482.000000343796	431	425.9999	400	392.0004	443.0002
ENSRNOG00000000825	11	11	3	6	8	7
ENSRNOG00000000826	3539.00408	3488.00253	3120.00087	3201.00017	3805.00273	3534.00385
ENSRNOG00000000827	1187.9975	1091.00229	584.99996	815.0004	997.99989	1109.9955
ENSRNOG00000000831	414.9996	406.9999	523.0005	567.9995	551.0002	423.0004
ENSRNOG00000000833	696	562.0001	786	1000	771	593
ENSRNOG00000000836	7	3	15	13	2.62689	6
ENSRNOG00000000837	0.00941211	0.0098012	0.0198629	0.0388962	0.0227475	0.0534642
ENSRNOG00000000838	0	0	0	2	0	0
ENSRNOG00000000839	286.09858	263.1182	356.22957	373.99953	289.99972	284.16639
ENSRNOG00000000840	487.9017	477.88153	498.77067	617.9995	566.0005	513.8339
ENSRNOG00000000841	5139.33524	5003.123	5103.51086	6089.43399	5377.01417	4723.70792
ENSRNOG00000000842	1390.0003	1431.996	1305.0002	1653.9982	1338	1622.0048
ENSRNOG00000000843	2	1	2	2	1	2
ENSRNOG00000000844	1	0	2	1	1	0
