gene	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6
ENSRNOG00000020894	2035.8	1725.81	2113.8	1931.8	1844.84	2252.76
ENSRNOG00000020897	3252	2838	3292	3027	2978	3687
ENSRNOG00000020899	0	0	0	0	0	0
ENSRNOG00000020901	21	18	13	13	18	14
ENSRNOG00000020902	545	502	565	501	531	544
ENSRNOG00000020903	143	102	113	113	117	120
ENSRNOG00000020904	131.215	129.376	172.108	128.396	139.657	166.256
ENSRNOG00000020905	2330	1990	2261	2198	1994	2245
ENSRNOG00000020906	612.785	518.6233	556.892	579.604	523.343	671.743
ENSRNOG00000020907	0	0	0	0	0	0
ENSRNOG00000020908	94	83.99996	124	92	105.00003	113
ENSRNOG00000020915	2443	2179.004	2031	2006	1969	2459
ENSRNOG00000020916	746	629	681	618	598	707
ENSRNOG00000020918	658.8026	617.0346	647.0786	716.6867	699.0598	825.4413
ENSRNOG00000020922	3821	2864	3403	2819	2823	2945
ENSRNOG00000020923	249	249.9999	274	276.9996	218	308.9993
ENSRNOG00000020925	441	360	435	434	460	566
ENSRNOG00000020927	16.99998	14.99995	19.00001	12.99999	14.00002	22
ENSRNOG00000020929	345	314	317	349	309	414
ENSRNOG00000020930	639	533	612	595	621	623
ENSRNOG00000020932	0	0	0	0	0	0
ENSRNOG00000020935	839	726	820	764	754	864
ENSRNOG00000020936	169	138	163	129	154	197
ENSRNOG00000020937	3125.75	2851.23	3027.43	3105.79	2914.1	3407.15
ENSRNOG00000020938	622.0002	564.0003	659.9999	546.9998	630.0001	668.9999
ENSRNOG00000020939	0	0	0	0	0	0
ENSRNOG00000020941	1180	1061	1249	1147	1084	1388
ENSRNOG00000020942	133	164	123	145	127	148
ENSRNOG00000020945	0	0	1	1	0	1
ENSRNOG00000020946	415.404	417	489.393	454.788	430.699	532.542
ENSRNOG00000020947	1729	1489	1806	1629.97	1562.97	1805.97
ENSRNOG00000020948	471	399	491	403	461	574
ENSRNOG00000020949	2	0	2	0	1	0
ENSRNOG00000020950	1645.02	1423.8	1594.61	1541.97	1465.37	1794.66
ENSRNOG00000020951	75.68343	66.59032	60.13838	45.8333	57.34588	89.5969
ENSRNOG00000020952	269	247	241	273	230	320
ENSRNOG00000020953	3	6	5	9	9	10
ENSRNOG00000020955	79422	66081	77696	72914	69131	88842.9
ENSRNOG00000020956	976	924	1074	965	974	1142
ENSRNOG00000020957	7	6	9	7	7	5
ENSRNOG00000020970	151.0003	104	146.0004	131.9996	126.0002	131.0001
ENSRNOG00000020975	522.982	464.195	576.393	512.03	526.627	676.34
ENSRNOG00000020979	4695	4185	5108	4905	4616	6295
ENSRNOG00000020980	1.7077	1	1.68463	2.01489	2	1.37734
ENSRNOG00000020981	8	8	13	11	3	2
ENSRNOG00000020982	10168.9	9035.21	11384.4	11079.6	10364.3	14392
ENSRNOG00000020985	69	65	64	77	75	69
ENSRNOG00000020989	469.264	369.088	466.542	446.414	439.589	495.498
ENSRNOG00000020990	3	2	3	3	0	5
ENSRNOG00000020991	5	5	8	4	6	14
ENSRNOG00000020993	0	0	0	0	0	0
ENSRNOG00000020994	2010	1898	2192	2181	1963	2507
ENSRNOG00000020995	8	7	5	9	3	6
ENSRNOG00000020996	1442.74	1306.91	1488.46	1352.59	1387.41	1609.5
ENSRNOG00000020997	1.52601	3	1.43911	4.14712	7	8.66583
ENSRNOG00000020998	1	1	1	1	1	1
ENSRNOG00000021000	5	15	12	2	11	10
ENSRNOG00000021001	0	0	0	0	0	0
ENSRNOG00000021002	0	0	0	0	0	0
ENSRNOG00000021003	273	264	351	277	310	333
ENSRNOG00000021004	241	192	252	240	212	239
ENSRNOG00000021005	1194	1101	1195	1265	1137	1416
ENSRNOG00000021006	1335	1231	1504	1397	1387	1770
ENSRNOG00000021007	571	508	574	518	505	595
ENSRNOG00000021009	27	29	33	30	32	36
ENSRNOG00000021010	432.00026	324.00042	412.0003	385.0002	336.00004	422.9999
ENSRNOG00000021011	3	2	2	5	3	5
ENSRNOG00000021012	637	569	640	583	625	735
ENSRNOG00000021013	170	162	156	149	163	188
ENSRNOG00000021014	4	2	5	1	2	1
ENSRNOG00000021015	60	34	51	51	42	57
ENSRNOG00000021016	1	0	0	4	0	1
ENSRNOG00000021017	288	271	300	265	258	326
ENSRNOG00000021018	1	2	0	7	3	1
ENSRNOG00000021020	0	1	1	1	0	2
ENSRNOG00000021021	0	0	0	0	0	2
ENSRNOG00000021023	1	3	1	2	0	0
ENSRNOG00000021024	1840.001	1572.302	1752.001	1764.999	1684.5141	1919.995
ENSRNOG00000021025	801	768	846	748	783	893
ENSRNOG00000021026	831	752	880	804	738	878
ENSRNOG00000021027	588.00018	511.9996	628.9995	597.9997	547.9999	632.0005
ENSRNOG00000021029	62	66	105	110	103	118
ENSRNOG00000021031	4332.997	3668	4231.004	3827.003	3955.003	3998.995
ENSRNOG00000021032	766	689	755	695	735	802
ENSRNOG00000021035	10318	9839	12017	11705	11223	15053
ENSRNOG00000021037	0	0	2	0	0	0
ENSRNOG00000021039	15	9	11	7	16	14
ENSRNOG00000021041	695	679	680	642	536	591
ENSRNOG00000021042	2957	2601	3017	2935	2765	3355
ENSRNOG00000021044	1679	1259.33	1369	1307	1331	1365
ENSRNOG00000021046	18.00004	15	9	15.999971	13	25.00003
ENSRNOG00000021047	1825	1584	1715	1806	1533	1916
ENSRNOG00000021048	15	4	13	16	9	13
ENSRNOG00000021050	0	0	0	0	0	0
ENSRNOG00000021051	1727	1486	1724	1657	1605	2024
ENSRNOG00000021052	998	882	967	920	917	1039
ENSRNOG00000021053	411	335.0005	395	359.9995	378	405
ENSRNOG00000021054	947	820	1006	899	842	1078
ENSRNOG00000021056	44.1925	29.1159	29.1122	34.1451	29.1117	36.1307
ENSRNOG00000021057	2658	2327	2286	2528	2316	2849
ENSRNOG00000021058	554	459	578	603	504	673
ENSRNOG00000021060	3	2	0	0	2	2
ENSRNOG00000021061	396	341	353	329	365	390
ENSRNOG00000021062	293	272.0004	350	346	325	373
ENSRNOG00000021063	84	78.0000285	67	55	63	73
ENSRNOG00000021065	0	0	0	0	0	0
ENSRNOG00000021066	0	0	0	0	0	0
ENSRNOG00000021067	37	22	37	29	37	42
ENSRNOG00000021068	1264	1083	1242	1151	1233	1256
ENSRNOG00000021069	0	0	0	0	0	0
ENSRNOG00000021070	0	0	0	0	0	0
ENSRNOG00000021071	0	0	0	0	0	0
ENSRNOG00000021072	0	0	0	0	0	0
ENSRNOG00000021074	0	0	0	0	0	0
ENSRNOG00000021078	0	0	0	0	0	0
ENSRNOG00000021079	6006	5090	6178	5647	5484	6327
ENSRNOG00000021081	928	666	900	767	804	913
ENSRNOG00000021082	2288	2018	2230	2153	2054	2388
ENSRNOG00000021084	61	57	41	58	67	75
ENSRNOG00000021085	4674	4053	4381	4156	4052	4231
ENSRNOG00000021086	334	287	297	324.99956	305	342
ENSRNOG00000021087	36.1618	36.3191	26.9242	31.2897	40.7725	36.6682
ENSRNOG00000021088	116	119	112	113	103	147.0001
ENSRNOG00000021090	13388	11886	12504.8	12355	11924	13446
ENSRNOG00000021091	35	19	30	17	26	30
ENSRNOG00000021092	341	327	368	354	350	463
ENSRNOG00000021093	17	11	9	18	11	12
ENSRNOG00000021095	33	25	26.8736	32.8783	35.8574	32.7157
ENSRNOG00000021096	373	366	383	401	340	459
ENSRNOG00000021097	32	47	26.99999	26.00002	27.99996	20.00004220818
ENSRNOG00000021098	108	145	161	139	130	187
ENSRNOG00000021099	390	320	361	356	330	407
ENSRNOG00000021100	35	24	26	33	18	27
ENSRNOG00000021101	561	492.0001	547.9991	472.0003	394.9998	419.0002
ENSRNOG00000021102	1105.0005	884.001	1041	869	822.999	927.001
ENSRNOG00000021103	11.0000000247513	13	9.000000306246	8	13.00003	13
ENSRNOG00000021104	595	519	612	602	560	783
ENSRNOG00000021105	139	121	149	164	149	129
ENSRNOG00000021106	1351	1207	1223	1241	1183	1362
ENSRNOG00000021108	15.7028	23.8861	19.2851	16.883	14.4022	21.863129
ENSRNOG00000021109	25	26	19	17	23	17
ENSRNOG00000021110	326	286	360	293	269	345
ENSRNOG00000021113	778.825	690.315	714.793	779.825	762.049	967.156
ENSRNOG00000021116	0	1	1	0	0	1
ENSRNOG00000021117	1159	1007	1125	1138	979	1289
ENSRNOG00000021118	3701	3254	3705	3405	3329	3449
ENSRNOG00000021119	268	236	313	265	261	303
ENSRNOG00000021120	799	818	833	833	767	1005
ENSRNOG00000021123	8.26571	9.28502	9.26931	10.3833	9.38673	22.9707
ENSRNOG00000021125	2626	2409	2793	2595	2394	3204
ENSRNOG00000021128	612	533	588	570	512	548
ENSRNOG00000021129	1261.0006	1168.0002	1164.001	1150.9999	1203.0003	1243.9994
ENSRNOG00000021130	564	521	501.9999	506	445	417
ENSRNOG00000021131	502	439	437	463	468	500
ENSRNOG00000021132	1162	979	1259	1144	994	1304
ENSRNOG00000021133	1974.579	1710.426	1916.357	1987.748	1784.358	2168.515
ENSRNOG00000021134	2	1	0	1	0	0
ENSRNOG00000021137	171.0002	160.00019	184	163.99991	164.0001	160.0005
ENSRNOG00000021138	1273.34828	1093.20606	1175.15577	1223.24002	1255.20992	1483.20698
ENSRNOG00000021139	2130.0042	2020.0035	2301.9993	1868.995	1725.998	2113.003
ENSRNOG00000021140	3	9	2	2	6	6
ENSRNOG00000021143	1193.646	1088.799	1035.841	1117.76	1055.787	1138.791
ENSRNOG00000021144	961	889	935	998	868	1125
ENSRNOG00000021145	714	579	696	638	608	764
ENSRNOG00000021147	649	563	656	664	672	773
ENSRNOG00000021149	0	2	3	0	0	0
ENSRNOG00000021150	758	651	668	666	651	789
ENSRNOG00000021151	2936	2684	3144	2826	2705	3574
ENSRNOG00000021153	796	675	856	859	648	929
ENSRNOG00000021155	588	468	559	498	534	661
ENSRNOG00000021156	1919.94	1605.13	1675.82	1424.5	1442.06	1492.86
ENSRNOG00000021157	89	70	108	83	74	104
ENSRNOG00000021158	214	190	249	199	235	284
ENSRNOG00000021159	0	0	2.01516	0	0	2.0139
ENSRNOG00000021160	0	0	0	0	0	0
ENSRNOG00000021161	82.6122	81.3588	97.999	85.8952	76.1311	113.125
ENSRNOG00000021164	4714	4011	4773	4505	4434	5481
ENSRNOG00000021166	1235	1006	1145	955	1000	885
ENSRNOG00000021168	2744	2478	2609	2791	2523	3496
ENSRNOG00000021170	1293.997	1148	1273.001	1188	1227.001	1476.995
ENSRNOG00000021173	566	570	664	573	557	767
ENSRNOG00000021174	762	691	816	707	631	729
ENSRNOG00000021175	2256	2068	2328.97	2139	2197	2581
ENSRNOG00000021176	159	164	169	132	168	200
ENSRNOG00000021177	12492	11136	12818	12232	11709	15587
ENSRNOG00000021179	979	866	897	924	863	972
ENSRNOG00000021181	1048	897	1051	954	921	1065
ENSRNOG00000021182	581	532	598	590	540	620
ENSRNOG00000021183	1274.14	1066.33	1206.66	955.273	909.574	1005.39
ENSRNOG00000021184	1450.003	1259	1333.999	1150	1148	1142
ENSRNOG00000021185	434	388	528	463	468	580
ENSRNOG00000021186	1	1	0	0	0	0
ENSRNOG00000021198	934.576	716.026	964.427	883.465	846.58	1133.55
ENSRNOG00000021199	30	20	28.99999	32	34	52
ENSRNOG00000021200	909.594	892.534	931.784	851.035	833.023	929.059
ENSRNOG00000021201	25996	23328	24161	24840	24001	27539
ENSRNOG00000021202	4225	4005	4109	4211	3997	4822
ENSRNOG00000021203	570	545	494	592	501	721
ENSRNOG00000021206	425.0001	342.00017	436.00032	379.9997	367.0003	477.9996
ENSRNOG00000021207	1.67488	0	4	4.30668	1.00455	0
ENSRNOG00000021209	332.00012	306.00027	331.0004	256.9995	309.00034	345.00004
ENSRNOG00000021213	2529.58	2161.04	2357.72	2418.9	2126.17	2594.65
ENSRNOG00000021215	1427	1311	1543	1466	1437	1798
ENSRNOG00000021216	457.291	373.205	443.767	398.028	404.233	502.313
ENSRNOG00000021217	13	26	20	12	11	17
ENSRNOG00000021218	1381.002	1197	1224.001	1128	1173	1251.996
ENSRNOG00000021220	364	346	343	321	334	312
ENSRNOG00000021221	449	379	388	345.0002	304.9995	363.0001
ENSRNOG00000021222	735	653	691	729	708	862
ENSRNOG00000021223	2531.9975	2058.0026	2290.0008	2204.002	2117.9999	2615.999
ENSRNOG00000021224	888	770	921	858	848	1083
ENSRNOG00000021225	0	1	0	2	0	0
ENSRNOG00000021229	0	0	0	0	0	0
ENSRNOG00000021230	540	461	535	493	465	576
ENSRNOG00000021231	445	318	413	380	356	368
ENSRNOG00000021232	1273	1054	1291	1301	1183	1560
ENSRNOG00000021233	1666	1528	1695	1560	1507	2006
ENSRNOG00000021234	36	35	31	27	40	53
ENSRNOG00000021237	1029	812	885	834	856	944
ENSRNOG00000021240	2613	2225	2310	2406	2194	2589
ENSRNOG00000021241	35	31	42	33	37	27
ENSRNOG00000021242	1565	1206	1360	1134	1212	1202
ENSRNOG00000021243	20.31755	16.6276	20.9031	17.98536	17.62298	11.083
ENSRNOG00000021244	205	188	247	189	180	205
ENSRNOG00000021245	690.0004	538.0063	708.497	575.8873	585.555	648.9998
ENSRNOG00000021247	132	97	99	86	118	108
ENSRNOG00000021248	368	313	360	395	320	436
ENSRNOG00000021249	315.0001	250.0003	264.9996	246.0003	282.0004	276.9998
ENSRNOG00000021250	20	15	27	21	19	22
ENSRNOG00000021255	501.012	392.005	501.841	413.272	414.489	492.218
ENSRNOG00000021256	409	371	397	335	380	335
ENSRNOG00000021259	3853	3276	3682	3712	3218	4136
ENSRNOG00000021260	21	16	19	19	9	20
ENSRNOG00000021261	55.6711	56.0209	41.2079	51.0554	73.8123	64.3322
ENSRNOG00000021262	699	663	579	656	672	787
ENSRNOG00000021263	658	605	668	645.915	511	768
ENSRNOG00000021264	2402	2041	2424	2370	2395	3119
ENSRNOG00000021265	598	585	508	601	554	621
ENSRNOG00000021266	0	1	0	0	0	0
ENSRNOG00000021268	56	46	43	54	75	52
ENSRNOG00000021269	6	3	1	1	2	0
ENSRNOG00000021270	488	368	432	456	428	611
ENSRNOG00000021272	135	123	144	150	129	186
ENSRNOG00000021273	454	437	443	456	357	542
ENSRNOG00000021274	5.0536	6.045	8.28992	9.09368	13.4051	9.06895
ENSRNOG00000021276	120	94	101	99	94	114
ENSRNOG00000021285	2153	1615	1632	1443	1361	1182
ENSRNOG00000021287	248	187	238	216	219	247
ENSRNOG00000021289	707	677	692	765	693	888
ENSRNOG00000021290	0	0	0	0	0	0
ENSRNOG00000021292	496.478	458.27	550.176	443.154	498.923	525.017
ENSRNOG00000021294	1	3	2	1	2	2
ENSRNOG00000021295	871	740	825	910	816	980
ENSRNOG00000021298	1224	1186	1101	1225	1078	1340
ENSRNOG00000021302	8	8	8	4	5	4
ENSRNOG00000021303	123	120	121	126	129	123
ENSRNOG00000021310	0	0	1	0	0	0
ENSRNOG00000021312	755.161	706.619	749.095	760.58	692.764	773.004
ENSRNOG00000021313	0	0	0	0	0	0
ENSRNOG00000021314	2954	2134	2564	2513	2419	2797
ENSRNOG00000021316	1241	1053	1214	1238	1122	1384
ENSRNOG00000021317	5654	5190	5858	6086	5731	7558
ENSRNOG00000021318	2082.2648	1718.55	1856.2336	1604.515	1678.230862	1529.24
ENSRNOG00000021323	59	40	45	46	45	65
ENSRNOG00000021324	144	127	122	154	119	204.0003
ENSRNOG00000021329	0	0	0	0	0	0
ENSRNOG00000021330	316	320	341	319	356	387
ENSRNOG00000021332	0	0	0	0	0	0
ENSRNOG00000021334	10	2	7	4	5	2
ENSRNOG00000021338	4104.99	3520.98	3930.99	3584	3652	3840.93
ENSRNOG00000021345	12.5231	13.8204	14.9157	26.3099	18.1244	8.65389
ENSRNOG00000021347	94.99999	100	124	98.99998	90	142.00041
ENSRNOG00000021355	34	26	47	44	20	42
ENSRNOG00000021357	0	3.42509	1.814	4.71444	3.1354	3.60042
ENSRNOG00000021359	618.806	507	600	675.805	557.84	755.827
ENSRNOG00000021364	0	0	0	0	0	0
ENSRNOG00000021365	174.974	186.113	171.492	208.246	159.395	242.092
ENSRNOG00000021366	0	0	0	0	0	0
ENSRNOG00000021370	218	154	167	159	149	184
ENSRNOG00000021379	417	330	397	340	366	385
ENSRNOG00000021380	354	304	356	314	362	380
ENSRNOG00000021381	31	41	31	45	30	54
ENSRNOG00000021384	102	82	101	84	84	111
ENSRNOG00000021390	170	147	137.9997	139	141.00023	161.99983
ENSRNOG00000021392	1018	865	975	905	945	1105
ENSRNOG00000021395	2.39615	1.18366	3.57666	3.6452	5.99258	0
ENSRNOG00000021397	0	0	0	0	0	0
ENSRNOG00000021399	550	444	521	504	506	640
ENSRNOG00000021400	47	36	41	18	26	36
ENSRNOG00000021401	2	5	0	4	2	5
ENSRNOG00000021402	88	71	86	70	84	79
ENSRNOG00000021403	3112	2681	3151	3000	2809	3437
ENSRNOG00000021405	0	0	0	0	0	0
ENSRNOG00000021406	0	3.01124	0	2.01466	1.00769	0
ENSRNOG00000021410	3	1	3	4	5	4
ENSRNOG00000021411	1	0	0	0	0	0
ENSRNOG00000021412	552.0005	491.00050105035	468.0004348054	522.0009	464.00023	534.0006
ENSRNOG00000021420	90	45	65	61	57	70
ENSRNOG00000021424	6	8	5	8.000002	1	11
ENSRNOG00000021425	0	0	0	0	0	0
ENSRNOG00000021430	0	0	0	0	0	0
ENSRNOG00000021433	599.733	562.822	596.858	565.068	531.213	731.032
ENSRNOG00000021434	13	10	9	3	5	12
ENSRNOG00000021435	1	0	0	0	0	0
ENSRNOG00000021437	7435	4064	5523	2990	3653	1981
ENSRNOG00000021438	2776.36	2439.14	2910.64	2862.17	2578.05	3520.34
ENSRNOG00000021440	1597	1542	1462	1588	1432	1732
ENSRNOG00000021441	321.000000011027	217.9999	254	204	236.000196244	206
ENSRNOG00000021442	349	314	341	328	323	446
ENSRNOG00000021445	1	1	2	1	2	5
ENSRNOG00000021447	65	80	80	55	83	91
ENSRNOG00000021452	0	0	0	0	0	0
ENSRNOG00000021463	164.00033	176	136.0004	127.0003	126	115
ENSRNOG00000021468	0	1	1	0	2.0000014	2
ENSRNOG00000021469	264.958	237.872	237.179	220.622	189.038	314.254
ENSRNOG00000021470	0	0	0	0	0	0
ENSRNOG00000021472	0	0	0	0	0	0
ENSRNOG00000021473	0	0	0	0	0	0
ENSRNOG00000021474	1	3	3	1	2	3
ENSRNOG00000021475	449.747	396.329	441.787	471.163	441.629	563.236
ENSRNOG00000021478	252.0001	214	243	190.0002	203.0003	284
ENSRNOG00000021480	52	42	42	35	42	40
ENSRNOG00000021484	0	0	0	0	3.08904	3.78902
ENSRNOG00000021485	0	0	0	0	0	0
ENSRNOG00000021490	0	0	0	0	0	0
ENSRNOG00000021492	2623.52	2258.73	2603.71	2516.63	2531.9	3197.89
ENSRNOG00000021493	19	21	22	15	24	25
ENSRNOG00000021497	417	342	386	404	340	447
ENSRNOG00000021499	1	1	0	0	3	1
ENSRNOG00000021507	0	0	0	0	0	0
ENSRNOG00000021510	89	68	74	70	108	73
ENSRNOG00000021513	20	18	17	9	10	10
ENSRNOG00000021517	126.9997	107	138.99983	137	119.00047	123.9997
ENSRNOG00000021518	64.8144	51.22	61.0004	65.6733	60.9508	58.2944
ENSRNOG00000021521	1	4	1	2	3	4
ENSRNOG00000021524	9	5	1	2	3	4
ENSRNOG00000021525	416.057	388	347	345	289	549
ENSRNOG00000021526	53	62	68	67	64	77
ENSRNOG00000021528	668	636	725	690	628	869
ENSRNOG00000021533	0	0	0	0	0	0
ENSRNOG00000021536	21	13	10	15	12	13
ENSRNOG00000021540	73	51	63	60	52	61
ENSRNOG00000021546	0	0	0	1	0	0
ENSRNOG00000021547	0	0	0	0	0	0
ENSRNOG00000021548	417.9998	359	393.0003	378.9999	334.0001	349.9999
ENSRNOG00000021551	10	11	7	10	5	19
ENSRNOG00000021552	127	113	99	116	107	139
ENSRNOG00000021553	150	168	124	132	143	123
ENSRNOG00000021555	140.791	136.795	156.919	117.599	105.678	162.201
ENSRNOG00000021557	0	0	0	0	0	0
ENSRNOG00000021560	12.1191	12.0038	15.4973	13.8931	18.7834	16.6517
ENSRNOG00000021569	340	306	291	343	288	348
ENSRNOG00000021573	542.245	443.019	470.385	488.884	454.705	524.577
ENSRNOG00000021575	0	0	0	0	0	0
ENSRNOG00000021578	23	13	23	25	20	17
ENSRNOG00000021579	667	648	658	612	549	754
ENSRNOG00000021581	923.81300146661	820.658	838.5842	812.418452678	770	872.2259
ENSRNOG00000021584	13.3745	9.13873	33.493	23.4102	32.7521	51.777
ENSRNOG00000021586	6	12	8	8	4	6
ENSRNOG00000021589	28.0067	12	19	20.0047	27	28.005
ENSRNOG00000021602	32	29	30	35	30	38
ENSRNOG00000021609	240	228	248	270	216	265.609
ENSRNOG00000021611	721.00043	652.999994	686	719.000103	614.99992	730.999516
ENSRNOG00000021614	1855.0002	1545.9995	1639.0003	1363.00043	1390.0003	1499.001
ENSRNOG00000021615	280	217.0003	238.9996	223.0002	183.9998	239.9996
ENSRNOG00000021619	0	0	0	0	0	1
ENSRNOG00000021628	133	132	141	146	154	166
ENSRNOG00000021637	2153	1960	2068	2293	1941	2556
ENSRNOG00000021638	3489	3205	3761	3771	3530	4856
ENSRNOG00000021644	36.0135	35.0153	36.0141	43	34	43.0689
ENSRNOG00000021656	0	1	0	3	0	0
ENSRNOG00000021657	41	40	35	42	41	45
ENSRNOG00000021658	0	0	0	0	0	0
ENSRNOG00000021659	11	9	5	8	2	9
ENSRNOG00000021660	464	433	438	469	488	561
ENSRNOG00000021663	58.8592	42.1803	40.5982	43.99	45.9339	65.3721
ENSRNOG00000021669	316	292	293	287	273	395
ENSRNOG00000021670	726	589	604	507	488	447
ENSRNOG00000021671	271	235	249	223	240	252
ENSRNOG00000021674	0	0	0	0	0	0
ENSRNOG00000021678	1070	947	1214	1115	1011	1317
ENSRNOG00000021680	218	197.0004	196	219	191	238
ENSRNOG00000021681	1305	1038	1069	1053	1020	1586
ENSRNOG00000021682	2383.99615	1930.0029	2221.00242	1893.99623	1947.004	2029.00049
ENSRNOG00000021685	9	12	12	13	12	18
ENSRNOG00000021688	0	0	0	0	1.03727	0
ENSRNOG00000021689	581.0005	510.9999	573.0004	548.9997	506.9998	610.0004
ENSRNOG00000021691	361	315	412	335	324	372
ENSRNOG00000021693	421.191	367.582	355.186	406.193	350.234	466.252
ENSRNOG00000021695	0	0	0	0	0	0
ENSRNOG00000021702	386.39688	349.56279	365.44503	366.54331	321.30757	425.4723
ENSRNOG00000021704	25	19	22	35	15	29
ENSRNOG00000021705	725	655	684	716	701	782
ENSRNOG00000021712	279.5967	282.5913	286.3985	310.3616	310.3192	329.9025
ENSRNOG00000021713	260.0001	206.00012	217.0001	216	223.00013	252.9999
ENSRNOG00000021714	2	2	1	1	0	5
ENSRNOG00000021718	436	323	367	370	342	443
ENSRNOG00000021719	746.5595	705.4285	666.54514	735.21845	670.66998	865.2511
ENSRNOG00000021723	0	2.15314	0	2.08952	0	1.01557
ENSRNOG00000021724	3	4	6	5	0	6
ENSRNOG00000021725	3907.642	3558.154	3754.593	3817.417	3634.79	4207.584
ENSRNOG00000021726	107.274	93.8535	101.5131	100	99.6472	99.012
ENSRNOG00000021727	0	0	0	0	0	0
ENSRNOG00000021729	50	50	34	28	29	37
ENSRNOG00000021731	251.533	235.006	236.104	276.779	228.056	292.334
ENSRNOG00000021732	603	551	641	533	561.612	560
ENSRNOG00000021735	295	239	228	265	271	329
ENSRNOG00000021745	0	0	0	1	0	0
ENSRNOG00000021748	1092.9997	894.6041	1010.3902	1081.0002	988.0001	1208.9994
ENSRNOG00000021750	172	185	230	179	192	240
ENSRNOG00000021751	51.1724	53.2012	24.243	32	25	49
ENSRNOG00000021752	28	35	40	32	25	33
ENSRNOG00000021758	1991.2369	1919.6783	1919.8124	2042.712	1931.0221	2600.4213
ENSRNOG00000021763	0	0	0	0	0	0
ENSRNOG00000021765	331.9996	304.9997	306.9996	348	325.0001	393
ENSRNOG00000021766	0	0	0	0	0	0
ENSRNOG00000021771	5	0	5	1	0	2
ENSRNOG00000021773	944	818	971	888	912	1023
ENSRNOG00000021776	411	396	395	389	394	513
ENSRNOG00000021780	328	319	302	310	315	373
ENSRNOG00000021781	973.707	877.602	1060.61	1051.35	930.181	1188.51
ENSRNOG00000021782	0	2	0	0	0	0
ENSRNOG00000021787	355	351	350	383	361	402
ENSRNOG00000021789	0	1	2	1	0	1
ENSRNOG00000021791	0	0	1	0	0	0
ENSRNOG00000021792	0	0	0	0	0	0
ENSRNOG00000021793	509	485	491	486	448	542
ENSRNOG00000021794	420	412	519	446	429	582
ENSRNOG00000021795	10	9	5	8	9	7
ENSRNOG00000021796	4	3	5	5	4	4
ENSRNOG00000021798	0	0	0	0	0	0
ENSRNOG00000021799	0	0	0	0	0	0
ENSRNOG00000021800	2	1	6	5	1	5
ENSRNOG00000021802	72	45	31	54	56	58
ENSRNOG00000021805	461	399	432	458	384	563
ENSRNOG00000021808	4471.64	3661.06	4134.06	3750.85	3804.6	4137.69
ENSRNOG00000021811	0	0	0	0	0	0
ENSRNOG00000021812	592	510	552	484	418	588
ENSRNOG00000021814	6	5	4	5	11	6
ENSRNOG00000021815	1105.591	939.325509	1051.5067	1104.258	1080.7787	1234.0262
ENSRNOG00000021817	99	78	85	97	87	106
ENSRNOG00000021823	2	0	2	0	0	1
ENSRNOG00000021824	1861.0014	1526.0022	1857.9962	1861.999	1794.99839	2068.003
ENSRNOG00000021828	2010	1870	2246	2102	1947	2519
ENSRNOG00000021831	22	19	29	27	22	25
ENSRNOG00000021833	0	0	1	0	1	1
ENSRNOG00000021839	137	114	110	107	77	153
ENSRNOG00000021840	109	106	92	80	92	107
ENSRNOG00000021843	0	0	3.00113	1.0006	0	1.00029
ENSRNOG00000021847	259.694	243.355	246.565	241.697	247.824	300.831
ENSRNOG00000021851	0	0	0	0	0	0
ENSRNOG00000021855	148	118	120	133	120	109
ENSRNOG00000021856	0	1	3	1	4	5
ENSRNOG00000021866	905	943	1130	1067	1102	1346
ENSRNOG00000021867	0	0	0	0	0	0
ENSRNOG00000021871	3457	2885	3378	3012	3007	3034
ENSRNOG00000021872	540	471	542	539	520	564
ENSRNOG00000021881	2637.38	2650.1849	2708.94	2816.07	2721.2025	3442.55
ENSRNOG00000021882	2149	1806	2294	2119	2017	2403
ENSRNOG00000021885	0	0	0	1	0	0
ENSRNOG00000021886	608.9995	514.0003	605.0001	467.0001	553.0003	585
ENSRNOG00000021887	242.0002	194.0003	221.0005	217.9996	169	262.0003
ENSRNOG00000021890	868	798	917	859	824	1026
ENSRNOG00000021891	1259	864	1036	829	864	794
ENSRNOG00000021892	1	0	2	0	1	1
ENSRNOG00000021896	0	1.09747	1	1	2.11809	1.11248
ENSRNOG00000021898	0	0	0	0	0	1
ENSRNOG00000021899	1125	922	1076	1012	997	1192
ENSRNOG00000021900	130.022	102.048	87.4588	122.135	111.397	144.998
ENSRNOG00000021902	44	31	39	40	52	44
ENSRNOG00000021903	415	403	384	363	356	522
ENSRNOG00000021904	464	417.994	418.503	442.113	420.444	461
ENSRNOG00000021910	0	0	0	0	1	2
ENSRNOG00000021911	464	413	439	424	405	567
ENSRNOG00000021912	0	1	0	3	3	3
ENSRNOG00000021913	0	0	0	0	0	0
ENSRNOG00000021916	450.826	364.792	382.823	406.859	344.103	455.62
ENSRNOG00000021918	561	447	527	568	578	680
ENSRNOG00000021919	330	278	304	307	298	360
ENSRNOG00000021920	0	0	0	0	0	0
ENSRNOG00000021924	0	0	0	0	0	0
ENSRNOG00000021931	1276.39	1226.49	1250.06	1287.31	1181.4	1667.06
ENSRNOG00000021938	4.999996	4.000005	5	4	2	3.999999
ENSRNOG00000021943	8	1	1	2	1	2
ENSRNOG00000021945	7	1	6	1	0	6
