gene	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6	Ace_6
ENSRNOG00000000579	1398.93	1371.96	1350	1280	953	1305
ENSRNOG00000000580	14	22	22	14	17	24
ENSRNOG00000000581	620.0008	509.9998	557.0003	567.0004	553.0006	721.0001
ENSRNOG00000000582	1	3	1	0	0	0
ENSRNOG00000000583	736	601	534	700	654	669
ENSRNOG00000000585	3373	3240	3328	3573	3483	4382
ENSRNOG00000000586	465	481	497	454	472	574
ENSRNOG00000000587	335	282	356	374	318	438
ENSRNOG00000000588	301	262.9995	223.00045	274.0002	240	290
ENSRNOG00000000589	19.0824	14.0273	8.69202	15.4717	16.0789	12.5724
ENSRNOG00000000590	20.674	13.4009	14.1636	10.8134	4.71756	11.7047
ENSRNOG00000000593	1149.6008	962.208	983.101	912.907	854.376	1269.526
ENSRNOG00000000595	93	69	89	75	92	97
ENSRNOG00000000596	1145.99970024623	988	1080	1061.00025	993.00082	1114.9996
ENSRNOG00000000597	0	0	2.71888	0	2.87733	0
ENSRNOG00000000598	221	218	208.281	239	236.123	263
ENSRNOG00000000599	5369	4532	4837	4482	4695	4441
ENSRNOG00000000604	2857	2564	2737	2858	2545	3389
ENSRNOG00000000605	4	2	1	3	3	8
ENSRNOG00000000606	1	0	0	0	0	0
ENSRNOG00000000607	0	0	0	0	0	1
ENSRNOG00000000609	421.279	366.07	396.461	399.963	384.166	487.298
ENSRNOG00000000610	2926	2647	3055	2788	2587	3327
ENSRNOG00000000611	615	544	575	485	511	508
ENSRNOG00000000613	962	861	871	934	841	1071
ENSRNOG00000000614	1176	1041	1100	1092	1073	1161
ENSRNOG00000000618	4	1	2	5	6	3
ENSRNOG00000000620	1	0	1	0	0	1
ENSRNOG00000000622	5917	5429	6280	6025.85	5882.84	7635
ENSRNOG00000000630	0	0	0	0	0	0
ENSRNOG00000000632	466.0002	442.0004	455.9999	450.9998	473.0003	610.0002
ENSRNOG00000000633	483.61692	423.662	487.751000107748	465.9716	371.1128	514.8992
ENSRNOG00000000634	708	627	645	603	611	736
ENSRNOG00000000636	89	84	98	80	82	88
ENSRNOG00000000638	306.73	282.939	297.698	284.277	245.117	355.292
ENSRNOG00000000639	426	349	417	350	304	341
ENSRNOG00000000640	77	73	78	62	66	82
ENSRNOG00000000641	429.733	376.001	386.581	386.003	353	487.653
ENSRNOG00000000645	2099	1882	2005	2230	2060	2662
ENSRNOG00000000648	1555	1369	1254	1361	1216	1583
ENSRNOG00000000650	0	0	0	0	0	0
ENSRNOG00000000653	13	17	9	18	18	15
ENSRNOG00000000655	38.3938	47.3904	45.0619	40.2687	52.36059	46.245
ENSRNOG00000000657	646	573	601	654	616	761
ENSRNOG00000000658	5329.995526	4721.0033	4671.0000265	4818.995	4600.9973	4614.0042
ENSRNOG00000000661	227	198.0004	226	240.0002	227	231
ENSRNOG00000000662	126	94	147	103	116	162
ENSRNOG00000000663	1062	935	1048	963	933	1125
ENSRNOG00000000664	1221	1008	1186	1087	1100	1340
