	EX_hdcea_e	EX_lipoate_e	EX_fe2_e	EX_lys__L_e	EX_nh4_e	EX_skm_e	EX_pi_e	EX_indole_e	EX_uri_e	EX_mn2_e	EX_val__L_e	EX_mobd_e	EX_arg__L_e	EX_duri_e	EX_for_e	EX_ca2_e	EX_ade_e	EX_h2o_e	EX_mg2_e	EX_ni2_e	EX_pro__L_e	EX_met__L_e	EX_zn2_e	EX_feenter_e	EX_pnto__R_e	EX_cobalt2_e	EX_ala__D_e	EX_thm_e	EX_gsn_e	EX_ile__L_e	EX_ptrc_e	EX_g3ps_e	EX_glyc3p_e	EX_leu__L_e	EX_his__L_e	EX_asn__L_e	EX_tyr__L_e	EX_nmn_e	EX_adocbl_e	EX_mmet_e	EX_h_e	EX_no3_e	EX_cu2_e	EX_phe__L_e	EX_succ_e	EX_akg_e	EX_ac_e	EX_cgly_e	EX_gam6p_e	EX_spmd_e	EX_thr__L_e	EX_so4_e	EX_btn_e	EX_adn_e	EX_cytd_e	EX_glyclt_e	EX_gthrd_e	EX_glyc_e	EX_alaala_e	EX_pydx_e	EX_dad_2_e	EX_colipa_e	EX_ocdcea_e	EX_LalaDgluMdap_e	EX_o2_e	EX_ala__L_e	EX_cl_e	EX_k_e	EX_co2_e	EX_hdca_e
10	0.0	0.0	0.0	0.0	1000.0000000000001	0.0	-51.68049977951081	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	614.4521881962427	-997.6001132484218	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	0.0	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	932.3355437029962	0.0	-0.037569764472252444	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.045907954023066	0.0	-1000.0	0.0	0.04972140936089489	0.0	0.35752591887986235	0.10869590611408346	0.0	0.0	0.0	0.0	0.0	-1000.0	461.2966638650301	-0.2760318600394572	-10.350637336576494	1000.0	0.0
11	0.0	0.0	0.0	0.0	1000.0000000000001	0.0	-93.35980992872818	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	466.29007877954865	-617.5681352704689	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	0.0	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.020083247037554	0.0	0.0	0.0	-0.012430352340225959	0.0	435.1303564304012	0.0	-0.037569764472252444	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.045907954023066	0.0	-1000.0	0.0	0.049721409360897466	0.0	0.35752591887986235	0.0	0.0	0.0	0.0	0.0	0.0	-1000.0	352.90048376800587	-0.2760318600394572	-10.350637336576494	1000.0	0.0
12	0.0	0.0	0.0	0.0	1000.0000000000001	0.0	-64.81177595797129	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	203.98274377218868	-899.9766137289225	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	0.0	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.054645350504872	0.0	0.0	0.0	-0.012430352340225959	0.0	46.241573654772864	0.0	-0.037569764472252444	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.045907954023066	0.0	-1000.0	0.0	0.04972140936089492	0.0	0.35752591887986235	0.0	0.0	0.0	0.0	0.0	0.0	-1000.0	336.46950935675096	-0.2760318600394572	-10.350637336576494	1000.0	0.0
13	0.0	0.0	0.0	0.0	1000.0000000000001	0.0	-67.52869953267547	0.0	0.0	-0.03765971763116211	0.0	-0.00781987562539993	0.0	0.0	1000.0	-0.2834274570084165	287.53469654789296	-798.095428413769	-0.47236051451725586	-0.01757157658930585	0.0	0.0	-0.01854475747613707	0.0	0.0	-0.0013733173668324917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.26632282317367	0.0	0.0	0.0	-0.012430352340225959	0.0	0.0	0.0	-0.038577157027678416	0.0	0.0	468.7332150196132	1000.0	0.0	0.0	0.8550637779793223	0.0	-15.259327834122601	0.0	-1000.0	0.0	0.0506719673574674	0.0	0.35752591887986235	0.0	0.0	0.0	3.6193975799881506	0.0	0.0	-1000.0	665.0438228677008	-0.28342745700841654	-10.62798003766431	1000.0	0.0
14	0.0	0.0	0.0	0.0	1000.0000000000001	0.0	-65.8696603606119	0.0	0.0	-0.037467008901111556	0.0	-0.007783899610672693	0.0	0.0	1000.0	-0.2819758666467477	281.1329291260267	-1000.0	-0.4699411972478079	-0.017481497110570208	0.0	0.0	-0.018449658088369715	0.0	0.0	-0.0013663452709551198	108.22942479262002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	161.98911041217266	0.0	-0.038379428388596155	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.333926764095384	0.0	-1000.0	0.0	0.050485394071809596	0.0	0.35752591887986235	0.0	0.0	0.0	0.0	0.0	0.0	-1000.0	503.8361377273003	-0.28197586664674773	-10.573543865240637	1000.0	0.0
15	0.0	0.0	74.97603915340922	0.0	1000.0000000000001	0.0	-82.01715510228718	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	35.65798078575728	-1000.0	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	0.0	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	1000.0	0.0	-0.037569764472252444	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.045907954023097	0.0	-388.5115228875677	0.0	0.0497214093607575	0.0	0.35752591887986235	0.10869590611416512	0.0	0.0	0.0	0.0	0.0	-1000.0	258.3916463553015	-0.2760318600394572	-10.350637336576494	1000.0	0.0
16	0.0	0.0	118.45292256337328	0.0	1000.0000000000001	0.0	-72.51563978694898	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	103.42643629629578	0.0	1000.0	-0.2760318600394571	281.6903519307489	-1000.0	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	0.0	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	1000.0	0.0	-0.037569764472252444	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.045907954023221	0.0	-457.55697152855157	0.0	0.04972140936090566	0.0	0.35752591887986235	0.10869590611408346	0.0	0.0	0.0	0.0	0.0	-1000.0	180.03212243754953	-0.2760318600394572	-10.350637336576494	1000.0	0.0
17	0.0	0.0	160.03891419269883	0.0	1000.0000000000001	0.0	-61.79723303793381	0.0	0.0	-0.03667790062721381	0.0	-0.007636584173143302	0.0	0.0	1000.0	-0.2760318600394571	212.46597885007216	-1000.0	-0.46003451956899033	-0.017112637526678784	0.0	0.0	-0.01806024286203233	0.0	0.0	-0.0013377957675579511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	370.6001568758661	0.0	0.0	-0.012430352340225959	0.0	876.7735523138603	0.0	-0.037569764472252444	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-14.04590795402342	0.0	-371.30337993143075	0.0	0.04972140936090566	0.0	0.35752591887986235	0.10869590611408346	0.0	0.0	0.0	0.0	0.0	-1000.0	121.08746275545066	-0.2760318600394572	-10.350637336576494	1000.0	0.0
18	0.0	0.0	207.66702065804878	0.0	1000.0000000000001	0.0	-77.21847694359744	0.0	0.0	-0.03963772304786971	0.0	-0.008189141470197732	0.0	0.0	1000.0	-0.2983269044671184	265.65148428904405	-1000.0	-0.4971929269484258	-0.01849617246426468	0.0	0.0	-0.019520878817811872	0.0	0.0	-0.0014448805150491196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.012430352340225959	0.0	914.0766867227795	0.0	-0.04060668791110199	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-15.126221720613321	0.0	-405.3298006245675	0.0	0.05258699720376833	0.0	0.35752591887986235	0.10869590611408338	0.0	0.0	0.0	0.0	0.0	-1000.0	158.87799613466652	-0.29832690446711846	-11.18672506125824	1000.0	0.0
19	0.0	0.0	168.86246178192	0.0	1000.0000000000001	0.0	-74.69339562808631	0.0	0.0	-0.041730473254461636	0.0	-0.00857982855652242	0.0	0.0	1000.0	-0.3140906741130099	376.0018240325951	-1000.0	-0.5234658763582449	-0.019474404471108667	0.0	0.0	-0.020553625301817445	0.0	0.0	-0.001520595066662431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00467694590086873	0.0	962.8676421315022	0.0	-0.0427539525948555	0.0	0.0	0.0	1000.0	0.0	0.0	0.0	0.0	-15.890060403109054	0.0	-504.93271424611083	0.0	0.054613118604939836	0.0	0.35752591887986235	0.10869590611408338	0.0	0.0	0.0	0.0	0.0	-1000.0	405.4548327579807	-0.3140906741130099	-11.777883080180525	1000.0	0.0
