	EX_mn2_e	EX_ca2_e	EX_adocbl_e	EX_h2o_e	EX_co2_e	EX_h_e	EX_zn2_e	EX_so4_e	EX_cu2_e	EX_mg2_e	EX_glyclt_e	EX_cl_e	EX_o2_e	EX_k_e	EX_for_e	EX_glyc_e	EX_nh4_e	EX_mobd_e	EX_cobalt2_e	EX_ni2_e	EX_ac_e
28	-6.959356135174354e-05	-0.0005237497200818146	0.0	-1000.0	1000.0	1000.0	-3.426795422183117e-05	0.0	0.0	-0.0008728809450394216	-2.859422920664656e-09	-0.0005237497200818262	-1000.0	-0.019639556850159966	1000.0	0.0	1000.0	-1.4489844840712562e-05	-2.538366979394958e-06	-3.246994427809311e-05	999.9999999996621
29	-6.959356135174354e-05	-0.0005237497200818146	0.0	-1000.0	1000.0	1000.0	-3.426795422183117e-05	0.0	0.0	-0.0008728809450394216	0.0	-0.0005237497200818262	-1000.0	-0.019639556850159966	1000.0	0.0	1000.0	-1.4489844840712562e-05	-2.538366979394958e-06	-3.246994427809311e-05	877.9652325802242
30	-0.0049225842212511466	-0.03707966841043736	0.0	-1000.0	1000.0	1000.0	-0.0024292347604148203	0.0	0.0	-0.06179944735072894	0.004765859397998796	-0.03707966841043736	-1000.0	-1.3905267465972142	1000.0	0.0	1000.0	-0.0009189773727082457	-0.00017809639005973759	-0.0023010053595718095	647.5813022102769
31	-6.959356135174354e-05	-0.0005237497200818146	0.0	-1000.0	1000.0	1000.0	-3.426795422183117e-05	0.0	0.0	-0.0008728809450394216	0.0	-0.0005237497200818262	-1000.0	-0.019639556850159966	1000.0	0.0	1000.0	-1.4489844840712562e-05	-2.538366979394958e-06	-3.246994427809311e-05	1000.0
32	-0.03472705053274772	-0.2613500824288248	0.0	-1000.0	1000.0	1000.0	-0.017099641903663015	-5.0376917241677575	0.0	-0.4355658784905273	0.04707679190761566	-0.2613500824288248	-1000.0	-9.800100324355508	1000.0	0.338509577685477	1000.0	-0.007230404138277262	-0.001266640141012075	-0.016202438470446126	999.7386499175711
33	-0.03014094642697101	-0.2268358156631507	-0.010214940810356433	-1000.0	1000.0	1000.0	-0.014841438666168098	-34.3237649149041	0.0	-0.3780444238021151	0.04085976324142593	-0.22683581566316177	-1000.0	-8.505885018273931	1000.0	0.29380551729877213	1000.0	-0.006275546596497005	-0.0010993658271235627	-0.014062721205288906	833.1787581489614
34	-0.02935690470410163	-0.22093524634454603	-0.009949224542575477	-1000.0	1000.0	1000.0	-0.014455375568585	0.0	0.0	-0.368210538788679	0.03979689817030208	-0.22093524634454603	-1000.0	-8.284625584353543	1000.0	0.2861628978299512	1000.0	-0.006112303866963411	-0.0010707685606359259	-0.013696914504801217	999.7790647536555
35	-0.02947907625659136	-0.22185468939611042	-0.009990629186805863	-1000.0	2.0	1000.0	-0.014515532989567783	0.0	228.02844598909113	-0.36974288198426825	0.03996251674905715	-0.22185468939611006	-1000.0	-8.31910284207667	1000.0	0.2873537919601474	1000.0	-0.006137740801144403	-0.0010752246658939097	-0.013753915517892928	924.5109748592483
36	-0.03322344582707046	-0.25003420020615946	-0.011259617658718407	-1000.0	1000.0	1000.0	-0.0163592651184967	0.0	270.31473144307506	-0.41670683649059653	9.371983398875384	-0.25003420020615946	-1000.0	-9.375777592140903	1000.0	0.3238528594754254	1000.0	-0.006917343584055705	-0.0012117974161849408	-0.0155009086153657	999.7790489377821
37	-0.03000320627696664	-0.22579920590203467	-0.010168259878060124	-1000.0	1000.0	1000.0	-0.01477361524884072	0.0	0.0	-0.3763168106440816	132.30898508459376	-0.22579920590203467	-1000.0	-8.467014245547015	1000.0	0.292462864833532	1000.0	-0.006246868176207342	-0.0010943418702844977	-0.013998456424055864	999.8004649989851
38	-0.037226333956254284	-0.2801592792574031	-0.012616219562681923	-1000.0	1000.0	1000.0	-0.018330292100040106	0.0	0.0	-0.466913273770466	0.0504648782509164	-0.2801592792574031	-1000.0	-10.50540722239644	1000.0	0.36287189361005323	1000.0	-0.007750771659584861	-0.0013577994148177856	-0.01736851751454417	1000.0
39	-0.03299561582815536	-0.2483195890289139	-0.011182404756350526	-1000.0	1000.0	1000.0	-0.01624708135003395	0.0	0.0	-0.41384926661058696	0.04472961902540212	-0.2483195890289139	-1000.0	-9.311483135456184	1000.0	0.3216320363553017	1000.0	-0.0068699078547983065	-0.001203487507409922	-0.015394611032285252	1000.0
40	-0.03251129868177195	-0.24467469767801625	-0.011018266878472864	-1000.0	1000.0	1000.0	-0.01600860299831932	0.0	0.0	-0.40777469304052266	0.044073067513891485	-0.24467469767801625	-1000.0	-9.174807070240476	1000.0	0.31691104824450655	1000.0	-0.00676906978632638	-0.0011858224443199498	-0.015168645433592687	1000.0
41	-0.031116677404363798	-0.23417900684864673	0.0	-1000.0	1000.0	1000.0	-0.015321889785735369	0.0	0.0	-0.39028258148664813	0.04218248669406159	-0.23417900684864673	-1000.0	-8.78123985899136	1000.0	0.3033166700176131	1000.0	-0.006478700310635017	-0.0011349547989433606	-0.014517963469817152	1000.0
42	-0.03502410484958196	-0.2635856644606837	-0.011869871400390239	-1000.0	1000.0	1000.0	-0.017245911810432456	0.0	0.0	-0.43929169806018226	0.04747948560156098	-0.2635856644606837	-1000.0	-9.883930136046922	1000.0	0.3414051800991166	1000.0	-0.007292252833423602	-0.0012774749489209228	-0.016341033721613468	1000.0
